origin,dest,count
7,3,6.8229118611564615e-06
7,6,0.0011038252150151187
7,7,0.004105132226421268
7,15,0.00017362642625605356
7,20,0.0020287822597727444
7,19,0.001399213823043936
7,18,0.000499302646096801
7,32,0.00025182985479585857
7,29,0.0005922175033693827
7,31,0.002382214681908348
7,35,0.00012949228683871672
7,36,0.0004894505060508651
7,37,0.000621443820062028
7,38,0.0002544602412882857
7,45,0.0038430939742368445
7,46,0.002176767536888622
43,3,5.8185630971344366e-05
43,6,0.0007052371392241497
43,7,4.618755318825128e-05
43,15,0.0002593193511950229
43,20,0.0011932387522519921
43,19,0.00023241566552915902
43,18,0.0003021464388843441
43,32,0.0004561196385013974
43,29,0.0004424047259858575
43,31,0.0015548918255052398
43,35,0.00013343666853519784
43,36,0.000561567326496742
43,37,0.0005021696078858063
43,38,0.00015249439499576047
43,45,0.0006774444212995659
43,46,0.0025305119824336995
43,2,0.0032500503324877474
43,4,0.0018018539664654849
43,39,0.0001847279513081987
43,42,0.000663730580092839
8,3,0.000317448185248814
8,6,0.0010917977114222259
8,7,0.0005098903212130111
8,15,0.0005310452999788648
8,20,0.0018282193730704216
8,19,0.002689386902718749
8,18,0.0004946052283208558
8,32,0.008266882218957976
8,29,0.0007610793750988613
8,31,0.002524344209273799
8,35,0.0005366072735874441
8,36,0.00043798966109843875
8,37,0.0009097742382666338
8,38,0.0002279154072773351
8,45,0.008256431169435469
8,46,0.001999070056020731
8,2,0.0025221336054761095
8,4,0.012904899892404594
8,39,0.0038298176527164973
8,42,0.005941323096702962
0,3,8.676841745096142e-05
0,6,0.0011548209382849911
0,7,0.00012038477662629088
0,15,0.00027964249003272726
0,20,0.0021149833090687194
0,19,0.0005670986806868288
0,18,0.0005453393053474122
0,32,0.0007155549729421283
0,29,0.0007103517986844249
0,31,0.00256691985125282
0,35,0.00024469834118780404
0,36,0.000475282126278845
0,37,0.0007252175084360257
0,38,0.0002625567652457986
0,45,0.0016839598568157666
0,46,0.0021472467397649696
0,39,0.0002179683988318191
39,3,8.628866015868931e-05
39,6,0.001139947732139261
39,7,0.00012113864678845502
39,15,0.0002896119001228548
39,20,0.0020754471959139502
39,19,0.0005858756703253272
39,18,0.0005641144044841154
39,32,0.000727927608193249
39,29,0.0006757828656271594
39,31,0.0025234275986798713
39,35,0.0002463157216185925
39,36,0.0004850699904175006
39,37,0.000740027710884573
39,38,0.00026557615271850094
39,45,0.001660900972297616
39,46,0.0021810209033066397
39,39,0.00022602560041000156
39,42,3.406950533579191e-06
42,3,0.0003477024723946098
42,6,0.0014559951619486737
42,7,0.0001521914401713015
42,15,0.00037965508583881436
42,20,0.002566476816828799
42,19,0.0007332225212886736
42,18,0.0006429195258797803
42,32,0.0010522086722377863
42,29,0.0008424949645121086
42,31,0.00311563664355241
42,35,0.0009354577902147893
42,36,0.0005650024831840992
42,37,0.0009143870111299856
42,38,0.0003215137922213017
42,45,0.0021000009085031953
42,46,0.002606167581227743
42,39,0.0003373781561246249
42,42,0.0010496778273822035
17,3,0.0003693378909224064
17,6,0.0014846903183899929
17,7,0.00015163561866877526
17,15,0.00036604366832139376
17,20,0.0025247165729563917
17,19,0.0007425208761191843
17,18,0.0005814808205897868
17,32,0.0010814830599020463
17,29,0.0008135027935051389
17,31,0.0031433270058776955
17,35,0.0008885370168257148
17,36,0.0006047580091107185
17,37,0.000913452365886041
17,38,0.00032077678380296713
17,45,0.002151662780784022
17,46,0.002693027680906755
17,39,0.00035815459109990477
17,42,0.001069186544806951
9,3,4.8515331682083524e-05
9,6,0.0007260390305017944
9,7,0.00022343005687410034
9,15,0.0001712764613319295
9,20,0.001294629212220364
9,19,0.0010611638506163893
9,18,0.00034299373610968616
9,32,0.0012719672333880217
9,29,0.00039275308938179404
9,31,0.0015816759942606298
9,35,0.00014520709965193453
9,36,0.0003093443159519814
9,37,0.00045504071870947825
9,38,0.00016803329946126706
9,45,0.0029576281161577058
9,46,0.0013644070688212967
9,39,0.0003289968381031363
23,3,0.00036515005752863194
23,6,0.0013973835332391324
23,7,0.0001518630587364929
23,15,0.0003785848192848388
23,20,0.0025287153619770538
23,19,0.0007404996080201187
23,18,0.0006874158950341771
23,32,0.0010563857338339567
23,29,0.000838353627684694
23,31,0.003102352321013874
23,35,0.000954548731457538
23,36,0.0005923700175778402
23,37,0.0009255705961376188
23,38,0.0003238128740597995
23,45,0.00211559261677791
23,46,0.0026630795096398686
23,39,0.00036295918638075105
23,42,0.0014291406418080984
2,3,0.00036302362653080225
2,6,0.0014595777763970219
2,7,0.0001519776173046889
2,15,0.0003731801580005524
2,20,0.002549248268128082
2,19,0.0007311966305366267
2,18,0.000648360535058046
2,32,0.0010809560347698728
2,29,0.0008416598827287898
2,31,0.003104573688244902
2,35,0.0009502621558267057
2,36,0.0005909574380700577
2,37,0.0009198826383797001
2,38,0.0003307104749536789
2,45,0.002083259100006474
2,46,0.0026493800224355038
2,39,0.0003411642566665431
2,42,0.0012020768287764596
45,3,4.713493467944484e-05
45,6,0.0007343437727382977
45,7,0.00021626207826509557
45,15,0.00017488827096488288
45,20,0.0013234291219980279
45,19,0.001056863225596919
45,18,0.00033047013844970566
45,32,0.0012687971989852494
45,29,0.00042527452856374107
45,31,0.0015967552370594249
45,35,0.00014699327219574128
45,36,0.0002992084715072646
45,37,0.0004494708203846283
45,38,0.00016736501813248886
45,45,0.0029169026736905954
45,46,0.0013720445595912204
45,39,0.0003141224473024522
11,3,2.6817887520117028e-05
11,6,0.0008419435308961074
11,7,4.875418816604052e-05
11,15,0.00022056989717647859
11,20,0.0015253833183449252
11,19,0.00023847261957795702
11,18,0.00011516932487747842
11,32,0.00018934913742687775
11,29,0.0005072998541271851
11,31,0.0018947687555315755
11,35,0.00010623152698482314
11,36,0.0006339630960097319
11,37,0.0005333914047564775
11,38,0.00019363375404018323
11,45,0.0006703069727599292
11,46,0.0028981194680454615
11,39,2.5252882325738935e-05
30,3,2.776249007810233e-05
30,6,0.0008702177624881103
30,7,4.968440948819271e-05
30,15,0.00021218233775205977
30,20,0.0015381559169955854
30,19,0.00023978025646494416
30,18,0.0003894443693777231
30,32,0.00021007877322157107
30,29,0.0005161617783787352
30,31,0.0018767864789846977
30,35,0.00010477769223234479
30,36,0.0006419340659266513
30,37,0.000545732395001221
30,38,0.00019659864500999312
30,45,0.0006687508049131174
30,46,0.0028765965339792427
30,39,2.9955022401759345e-05
34,6,5.603933952686608e-05
34,7,2.066981311584578e-06
34,15,3.0618447987763685e-06
34,20,0.00010310793002639626
34,19,8.594396301745529e-06
34,18,3.087206481836389e-05
34,29,2.517125017953445e-05
34,31,0.00011572391003835582
34,36,1.6762936742813644e-05
34,37,2.5783771342285085e-05
34,38,1.306103330626337e-05
34,45,1.897861285500057e-05
34,46,7.620702719153925e-05
40,6,0.0002668684963534002
40,7,1.258228161912657e-05
40,15,0.00028224790412013283
40,20,0.0004818153849539168
40,19,5.597726095333597e-05
40,18,0.00014113434996267145
40,29,0.00012845576403307032
40,31,0.0005718523809874582
40,35,1.8752713136088572e-05
40,36,7.664934795547412e-05
40,37,0.00014585016839577253
40,38,5.949596602310388e-05
40,45,0.00014290501663015277
40,46,0.00036117508194098675
13,6,0.00018010883135207247
13,7,8.213390281085006e-06
13,15,4.439524434193034e-05
13,20,0.00034722594393886224
13,19,3.6526544936571117e-05
13,18,0.00010693380287098176
13,29,8.765492422363126e-05
13,31,0.00040526532918935864
13,35,7.748149403812422e-06
13,36,5.4721409839529515e-05
13,37,9.556775203321383e-05
13,38,4.2075209395199327e-05
13,45,8.849008059261898e-05
13,46,0.0002631812507605209
27,6,6.009313982180291e-05
27,20,0.0001856338499681654
27,18,4.0412505200659686e-05
27,31,0.005111185480818208
27,36,2.328969658651035e-05
27,38,2.2940425729880054e-05
27,46,0.0001058570065933877
48,6,7.876135934130962e-05
48,7,2.550931270063435e-06
48,20,0.00015865670240650004
48,19,8.853282312673398e-06
48,18,4.989488739538694e-05
48,29,3.376684280429213e-05
48,31,0.00017051615234506674
48,36,2.5101979908405963e-05
48,37,3.2227739443170026e-05
48,38,1.9610721850744323e-05
48,45,1.476909434930109e-05
48,46,0.00011646287295996388
21,6,6.543647358442573e-05
21,7,1.855435028414268e-06
21,20,0.0001298918531573212
21,19,5.511957217478381e-06
21,18,3.703742325678414e-05
21,29,2.6274943840491518e-05
21,31,0.00013984740618443997
21,36,1.9866518384171376e-05
21,37,2.458267945308529e-05
21,38,1.5891161701951624e-05
21,45,6.129547541547092e-06
21,46,9.628002022808562e-05
46,6,0.0003347059374841463
46,7,1.2042531233873959e-05
46,20,0.000677842034831871
46,19,4.453566801654944e-05
46,18,0.0001802846255054465
46,29,0.00016000635558892321
46,31,0.0007214862402818579
46,36,0.019757283625512663
46,37,0.0001394401830319699
46,38,8.554496992976803e-05
46,45,8.192008876582751e-05
46,46,0.004113539709358135
31,6,0.0001411322935240559
31,20,0.011068649872932382
31,18,0.00018482830392470628
31,36,3.4395004765769924e-05
31,38,9.602962118825934e-05
31,46,0.00015272438016391098
20,6,0.00013508266511674192
20,20,0.01105122169702629
20,18,0.00018650586654440682
20,36,3.21078169134674e-05
20,38,9.332231774317858e-05
20,46,0.00015559824476119464
41,6,0.0002529394516970144
41,7,1.7224986617457788e-06
41,20,0.00046614138431360453
41,18,0.0001274030144008529
41,29,0.0002678306816727896
41,31,0.001412997396804849
41,36,8.067477762160591e-05
41,37,0.0018417013785496737
41,38,6.624759910784666e-05
41,46,0.00036106176573052616
33,6,0.00034096391576982234
33,7,1.780390001343475e-05
33,15,0.0003348281455454659
33,20,0.0006136733342991131
33,19,7.937706405771781e-05
33,18,0.00016212417117447605
33,29,0.00016965068553018305
33,31,0.0007339806855242306
33,35,2.378200745060269e-05
33,36,0.00014431733987507622
33,37,0.000191072531453897
33,38,8.074227826615844e-05
33,45,0.0002073326849755658
33,46,0.0006374798524619553
5,6,0.0007681674580613077
5,7,0.00018362422450652556
5,15,7.448263889328048e-05
5,20,0.0012753056592485596
5,19,0.010432713227669936
5,18,0.0003912448111944095
5,29,0.00038969575998002923
5,31,0.0015562744448029207
5,35,4.969427725008661e-05
5,36,0.00032810478112208755
5,37,0.0003865675428479687
5,38,0.0001799760836877081
5,45,0.0019199778874785572
5,46,0.0014814487761428431
37,6,0.0005712615657297681
37,7,4.425271756714201e-06
37,20,0.0011271406071914135
37,18,0.00025781822793321575
37,29,0.013862655645045241
37,31,0.003196044724667938
37,36,0.00015507344370737185
37,37,0.00035566601291901615
37,38,0.0001443715730377024
37,46,0.0006893882519156154
16,6,0.00016115383367299422
16,7,4.1693418578518705e-07
16,20,0.000355131670294168
16,18,8.620814641261409e-05
16,29,0.00015603173415014147
16,31,0.0009458187347758706
16,36,4.427569114176254e-05
16,37,0.0012465817189459387
16,38,4.298561156330951e-05
16,46,0.00021429989922107766
19,6,0.0007067592581707522
19,7,0.0001695370686286954
19,15,6.494077517313174e-05
19,20,0.0013645082753263144
19,19,0.010380128892829847
19,18,0.00034519590230422327
19,29,0.000380035848254985
19,31,0.0014979754995022875
19,35,4.0094613342920905e-05
19,36,0.00031286897025710594
19,37,0.00036009536127013273
19,38,0.00017146993206130346
19,45,0.0018933027410464151
19,46,0.0014239781702324102
29,6,0.0005442872249504827
29,7,4.347778168705955e-06
29,20,0.0011206072401593315
29,18,0.00027417870618900455
29,29,0.013932713896479338
29,31,0.003163276237138929
29,36,0.0001567382793733491
29,37,0.00035229925108465267
29,38,0.0001423224767167255
29,46,0.0006993399657926631
22,6,0.0001459787387934976
22,7,6.546920897521425e-06
22,15,0.00010830733013982134
22,20,0.00026763745106920183
22,19,2.865575605535714e-05
22,18,8.592886101032691e-05
22,29,6.825104291054353e-05
22,31,0.00030902010537760705
22,35,7.305302619586972e-06
22,36,4.234711615420852e-05
22,37,7.52938350637345e-05
22,38,3.075512535675589e-05
22,45,7.141740892706183e-05
22,46,0.0001990825213533917
24,6,0.00018227483680489448
24,7,8.083049371385366e-06
24,15,4.152917377335721e-05
24,20,0.00034038209762346516
24,19,3.533006628201026e-05
24,18,0.00010271444003948839
24,29,9.018391678725836e-05
24,31,0.0004002414144951519
24,35,7.486829260487663e-06
24,36,5.526425641994621e-05
24,37,9.667612634315353e-05
24,38,4.348187430215249e-05
24,45,8.536749152928813e-05
24,46,0.00024963164217930794
14,6,0.00015420194261119114
14,7,6.690879008325961e-06
14,15,4.198881256449508e-05
14,20,0.00028242274492179536
14,19,2.9684763842192543e-05
14,18,7.746233759753399e-05
14,29,7.465673780007922e-05
14,31,0.0003264018139554919
14,35,7.114213159059275e-06
14,36,4.4931063906078163e-05
14,37,7.945315157813207e-05
14,38,3.501594223827377e-05
14,45,7.259218133206701e-05
14,46,0.0002108848740661217
26,6,0.00018835248579153967
26,7,8.574692153690345e-06
26,15,0.00018653914492221824
26,20,0.0003494267348148407
26,19,3.932663237673895e-05
26,18,0.00010380765657134244
26,29,9.357338531182232e-05
26,31,0.00041138876385374783
26,35,1.2435314172038801e-05
26,36,5.2124314021186e-05
26,37,0.00010275966982522387
26,38,4.18367968520662e-05
26,45,9.733286515363861e-05
26,46,0.00025626249403826564
36,6,0.00034176427740648986
36,7,1.2583865140720602e-05
36,20,0.0006759144665597207
36,19,4.533022182176157e-05
36,18,0.00018168352796488
36,29,0.00015860224776171583
36,31,0.0007234920743214472
36,36,0.019730708193401333
36,37,0.00014379807758400532
36,38,8.384859438226112e-05
36,45,8.659789977882078e-05
36,46,0.00410953040238806
12,6,0.00014805188023209428
12,7,6.859635229983683e-06
12,15,4.215226190399011e-05
12,20,0.0002799570737559318
12,19,3.0018083288106588e-05
12,18,8.763251791433031e-05
12,29,7.18971493832333e-05
12,31,0.00032901564650289613
12,35,7.131192529569159e-06
12,36,4.4777042216922986e-05
12,37,8.057609781090873e-05
12,38,3.4076723518449787e-05
12,45,7.438436314237764e-05
12,46,0.00021164735624556476
25,6,0.0002819247018219511
25,7,1.387913428596133e-05
25,15,0.0002896760036008303
25,20,0.0005373453954727451
25,19,6.20196702170176e-05
25,18,0.0001527408834598932
25,29,0.00014509960547726556
25,31,0.0006270829125127695
25,35,2.0990150607084232e-05
25,36,8.271726880560923e-05
25,37,0.00016393697742530155
25,38,6.563832604233653e-05
25,45,0.0001589406750306746
25,46,0.0004068114570778437
35,6,0.00014578752401286262
35,7,6.255087900325742e-06
35,15,0.0001052667446812482
