origin,dest,count
14,39,4.120418109837553e-07
14,42,3.714793945004975e-05
14,24,2.57851114061061e-07
14,27,5.353689481972354e-07
12,0,8.376737294278951e-06
12,2,3.6564880595002636e-06
12,8,4.640327232410705e-05
12,9,2.560443082548382e-06
12,15,2.282327615593702e-07
12,17,1.1891896069677384e-05
12,23,1.0137356903109014e-05
12,32,2.1998344214601374e-06
12,39,4.0750221214934164e-07
12,42,3.740540783128045e-05
12,24,2.563967945986885e-07
12,27,7.120125966034475e-07
35,0,8.41021503370651e-06
35,2,3.597219261543893e-06
35,8,5.427861819023502e-05
35,9,2.569697457759987e-06
35,15,6.164867766142298e-07
35,17,1.1825159500828445e-05
35,23,1.007704363017089e-05
35,32,2.183095501934355e-06
35,39,4.1219874711584717e-07
35,42,3.657372283883848e-05
35,24,9.680042639482189e-07
35,27,1.6208916438106098e-06
13,0,9.104636111438805e-06
13,2,4.1889054054831856e-06
13,8,4.190054787992071e-05
13,9,2.8306910538056964e-06
13,15,2.220521489455774e-07
13,17,1.3035841979383775e-05
13,23,1.143646133069792e-05
13,32,2.3531610348004183e-06
13,39,4.600359142304965e-07
13,42,4.311279278870472e-05
13,24,1.0410170953087404e-07
24,0,9.528933995412045e-06
24,2,4.1092182944653905e-06
24,8,4.2235753968639636e-05
24,9,2.8482294804628513e-06
24,15,2.1455873264090826e-07
24,17,1.332086970817303e-05
24,23,1.1089304353518689e-05
24,32,2.4386410714306657e-06
24,39,4.595486054964956e-07
24,42,4.272151706481424e-05
24,24,1.1040280411388207e-07
43,0,4.671892239962585e-06
43,2,9.83480974738727e-06
43,9,2.620428986662303e-06
43,15,2.0712629246908417e-07
43,32,3.2784832620115638e-06
43,39,5.214268469232098e-07
43,42,2.1784387946548753e-05
43,14,6.113143639152422e-06
43,13,5.806786648235839e-07
43,24,8.282019498505655e-07
43,40,1.0259318680615636e-06
25,0,9.39511394534299e-06
25,2,4.974483093258441e-06
25,9,2.974587216415085e-06
25,15,5.472778231305189e-07
25,17,1.4615353195291715e-05
25,23,1.1244453503605279e-05
25,32,2.5171172584225603e-06
25,39,4.928246524237704e-07
25,42,5.1763228968343796e-05
26,0,7.636664571771645e-06
26,2,3.5492689993040013e-06
26,8,1.9500695122121186e-05
26,9,2.366710074477657e-06
26,15,5.386434030258972e-07
26,17,1.120602086345628e-05
26,23,8.977923593627604e-06
26,32,2.061599360547105e-06
26,39,3.83486677481373e-07
26,42,3.7421896925903225e-05
0,2,1.4666553680550388e-07
0,15,1.3309259062512724e-07
0,32,2.8007867577598102e-06
0,39,3.5368501508310373e-07
0,42,1.0211284206967675e-05
0,13,2.8069819276600003e-07
0,24,1.995465100407045e-07
42,2,2.4970479621649945e-07
42,9,1.0243550351734241e-07
42,15,1.7382862860310494e-07
42,32,3.792230091784028e-06
42,39,4.7038992265930927e-07
42,42,4.020629369974226e-05
42,13,3.6401741863694146e-07
42,24,2.898639747957699e-07
39,2,1.4655892846861964e-07
39,15,1.387771789235265e-07
39,32,2.887948442447121e-06
39,39,3.666567856599482e-07
39,42,1.0510143420994388e-05
39,13,2.797403644634266e-07
39,24,2.1112548633244537e-07
45,2,1.3488517420862672e-08
45,15,7.968362809565165e-08
45,32,4.670565660410785e-06
45,39,5.002644444969921e-07
45,42,4.646629280222032e-06
45,13,1.3584093736353486e-07
45,24,6.977252683765674e-08
17,2,2.6502252565341315e-07
17,9,2.0788540201276565e-07
17,15,1.690432502612661e-07
17,32,3.8620246636473625e-06
17,39,4.944925321083801e-07
17,42,4.033051351795271e-05
17,13,3.687754131076225e-07
17,24,2.8835776282727236e-07
2,2,2.4930025727068846e-07
2,9,1.1924764441999053e-07
2,15,1.708120131123657e-07
2,32,3.861517612454621e-06
2,39,4.726940915793074e-07
2,42,4.141499926055311e-05
2,13,3.6825795554207015e-07
2,24,2.977965155964694e-07
23,2,2.677694610923008e-07
23,9,2.359515840687402e-07
23,15,1.7422991209731465e-07
23,32,3.800246689424064e-06
23,39,4.987075033851919e-07
23,42,4.313755436018516e-05
23,13,3.7803718860273195e-07
23,24,3.203421416238701e-07
30,2,3.2499261144681366e-06
30,9,3.9478216284013773e-07
30,15,1.3945457705887798e-07
30,32,1.7879588474279494e-06
30,39,2.4574589487139083e-07
30,42,9.890892869610507e-06
30,13,2.0082000953557716e-07
30,24,2.1572878051013203e-07
9,2,8.520039686505343e-10
9,15,7.86255351530847e-08
9,32,4.676934349198787e-06
9,39,5.142119455860388e-07
9,42,4.687543801025352e-06
9,13,1.3352780885398573e-07
9,24,6.931699139457159e-08
18,2,1.6691239205208022e-06
18,9,8.556128860189738e-08
18,15,8.794124615892334e-08
18,32,1.0153442500686421e-06
18,39,1.3631695724418921e-07
18,42,5.576860421557904e-06
18,13,1.007933047868077e-07
18,24,9.313518018382068e-08
33,2,1.2638222955499361e-08
33,15,2.681676733778526e-07
33,32,3.999474558181189e-07
33,39,3.7675596277371265e-08
33,42,1.4515371613506837e-06
11,2,3.2202435405563512e-06
11,9,3.8011410756848754e-07
11,15,1.4487453943097746e-07
11,32,1.7210119427220302e-06
11,39,2.3299807870929112e-07
11,42,9.61415970637818e-06
11,13,1.9593719485801487e-07
11,24,2.0606591933145065e-07
32,8,0.00022089364833039363
32,17,2.4388473697630514e-06
32,23,1.7851605916185625e-06
32,42,3.2066394293918454e-07
15,8,0.00022375549980921714
