origin,dest,count
0,3,3.657908873805879e-07
0,6,9.465231662482647e-06
0,7,1.3467988360109165e-06
0,15,4.1240618935720726e-07
0,20,7.182278694302367e-06
0,19,6.733526872819741e-06
0,18,2.7497269806670212e-06
0,21,5.245194430123885e-05
0,29,2.538409510785502e-07
0,31,1.575334056116536e-05
0,34,2.500099981715059e-05
0,36,1.7923822195113148e-06
0,37,2.0440341484382933e-05
0,38,9.400137138176892e-07
0,45,7.428209058714023e-06
0,46,2.5651650295923954e-05
40,3,5.07784630276821e-07
40,7,1.4258918507744964e-07
40,15,3.862351438453003e-06
40,20,1.635362691354108e-06
40,29,1.4265578361370127e-07
40,36,7.007693347388161e-07
40,38,3.391072027291922e-07
40,45,1.8412088278899648e-06
40,46,1.540324361762e-06
40,16,8.442490048476113e-06
40,24,1.0665184627388641e-05
40,27,4.693293333234697e-07
32,3,6.587362235353274e-08
32,6,4.758729478739496e-06
32,7,1.5264776807888793e-06
32,15,1.0543699406421083e-07
32,20,4.030834551682889e-06
32,19,4.913328306162842e-06
32,18,1.4233943401216998e-06
32,29,1.3685300004438957e-07
32,31,7.78800652260165e-06
32,36,1.0826805788004636e-06
32,37,7.33014890571694e-06
32,38,5.390064811126149e-07
32,45,6.780656698930741e-06
32,46,1.439526771786934e-05
39,3,4.1788551785040666e-07
39,6,9.394172810351685e-06
39,7,8.026763544935739e-07
39,15,7.211641163377746e-07
39,20,7.49779042563015e-06
39,19,4.150022895743688e-06
39,18,2.48340321645806e-06
39,29,3.211535522725064e-07
39,31,1.656198943178785e-05
39,34,2.3659480734179242e-05
39,36,3.778337383633973e-06
39,37,2.406032890020711e-05
39,38,1.0212156075690167e-06
39,45,5.1358115165057954e-06
39,46,4.8543909638386695e-05
39,24,9.99845889316441e-07
48,3,4.955512484149172e-07
48,6,5.046826373044108e-07
48,7,3.246158646085279e-07
48,15,1.4774936722867966e-06
48,20,2.0920248831867735e-06
48,19,1.7155764827632442e-06
48,29,1.4853217055908402e-07
48,31,2.090031228890867e-06
48,36,6.478468882814654e-07
48,37,7.093713016346802e-06
48,38,3.4274935289897984e-07
48,45,2.9260247295898575e-06
48,46,4.125557620907442e-06
48,16,4.350789975758947e-05
48,24,9.450856127871735e-06
48,27,5.368221154642736e-07
48,26,1.888833423957662e-05
48,40,2.5449310102401783e-06
34,3,3.028109406318127e-07
34,7,1.647446158353441e-07
34,15,8.586928145212984e-07
34,20,1.1329388620296251e-06
34,19,6.846006372494498e-07
34,29,7.91386038199165e-08
34,31,4.068812167731324e-07
34,36,3.9819466771242817e-07
34,37,2.4812224627245672e-06
34,38,2.115716631979941e-07
34,45,1.5072152884489155e-06
34,46,1.966808269117728e-06
34,16,1.907011707556258e-05
34,24,4.401437488676734e-06
34,27,3.0940334599491914e-07
34,26,6.12652252814833e-06
45,3,4.919789013474067e-07
45,6,1.4517981386759718e-05
45,7,5.560613715250835e-06
45,15,5.39426180426826e-07
45,20,1.102873679149687e-05
45,19,2.688427924413558e-05
45,18,4.104767095709171e-06
45,29,4.059289749859901e-07
45,31,2.41459429878788e-05
45,34,3.196293379530773e-06
45,36,2.8912172570061674e-06
45,37,2.9988889675458353e-05
45,38,1.4310958434935346e-06
45,45,3.049969394046877e-05
45,46,4.022749681055974e-05
22,3,3.9383524860136947e-07
22,6,3.0243566208842525e-07
22,7,2.5347619655196344e-07
22,15,3.4952033567385114e-06
22,20,1.6371075999363777e-06
22,19,1.2885773699719728e-06
22,29,1.147247245512797e-07
22,31,1.508163419552395e-06
22,36,5.11767976140048e-07
22,37,5.2849905978982885e-06
22,38,2.747540713068475e-07
22,45,2.2707945746833743e-06
22,46,3.1933247585806227e-06
22,16,3.307172377939253e-05
22,24,2.1357895919396836e-05
22,27,4.226100163405684e-07
22,26,4.137922843392308e-05
21,3,3.299929841466166e-07
21,6,8.433261005547518e-07
21,7,2.46781812628967e-07
21,15,1.0607984552311634e-06
21,20,1.5032922881229628e-06
21,19,1.475598069226584e-06
21,18,1.360970837488613e-07
21,29,1.0176073547568579e-07
21,31,2.3050522731181867e-06
21,34,0.0001306496502803496
21,36,4.317412379294688e-07
21,37,6.4260515505118315e-06
21,38,2.4383214526676665e-07
21,45,2.1276227991428864e-06
21,46,3.300106676671003e-06
21,16,3.4386510865462955e-05
21,24,7.369931655910762e-06
21,27,3.664434274932695e-07
21,26,1.83801467387396e-05
21,40,4.388380804586302e-05
21,14,0.00014097377583407894
21,12,0.00024362389411672678
14,3,6.303637342306795e-07
14,7,1.7044188017340763e-07
14,15,1.4216365387312108e-06
14,20,1.9269731137396822e-06
14,29,1.7132884912435187e-07
14,36,8.294975130828876e-07
14,38,4.1668837602496433e-07
14,45,2.1768298306079122e-06
14,46,1.7210903745656123e-06
14,16,8.84008722178949e-06
14,24,3.7651964294031504e-06
14,27,5.744565998787081e-07
12,3,5.663937964368467e-07
12,7,2.055662031765568e-07
12,15,1.531354936828178e-06
12,20,1.946102422880143e-06
12,19,4.222978493895981e-07
12,29,1.5176124833274006e-07
12,36,7.696828983547781e-07
12,38,3.7757394033116e-07
12,45,2.3480356298210034e-06
12,46,2.5114839706113296e-06
12,16,1.9277508400815118e-05
12,24,5.666541659454971e-06
12,27,5.487573540537113e-07
17,3,1.376460784516824e-06
17,6,1.1733815516574443e-05
17,7,1.6057438117757449e-06
17,15,4.96836522224222e-07
17,20,8.424144910903998e-06
17,19,8.386506825585438e-06
17,18,2.838700912970573e-06
17,21,0.00015372252779358847
17,29,3.2773500656868245e-07
17,31,1.9241717063171625e-05
17,34,4.106453581432941e-05
17,36,2.2976894141040605e-06
17,37,2.5789443242680172e-05
17,38,1.1198302456612667e-06
17,45,9.034626964227776e-06
17,46,3.1209372604784374e-05
16,3,2.011432875330077e-07
16,6,4.453966759500842e-07
16,7,1.4941678519541726e-07
16,15,6.243477902994891e-07
16,20,8.815899579326696e-07
16,19,8.340791236592449e-07
16,18,6.34377375229277e-08
16,29,5.885178897923167e-08
16,31,1.2443223919952945e-06
16,34,5.975520052271328e-05
16,36,2.5943549371552114e-07
16,37,3.6322382364543543e-06
16,38,1.4495399178665872e-07
16,45,1.266115942422387e-06
16,46,1.91288332461058e-06
16,16,2.002179734552288e-05
16,24,4.2113467352669615e-06
16,27,2.2038164720052574e-07
16,26,1.013656728756193e-05
16,40,2.2919762198131503e-05
16,14,6.0010566916820776e-05
16,12,9.104407859623349e-05
35,3,3.76369635597116e-07
35,6,7.865744141969122e-06
35,7,7.058824219999728e-07
35,15,6.515115436132135e-07
35,20,5.575788365035194e-06
35,19,4.1264245324446945e-06
35,18,1.7962148313140745e-06
35,21,0.00032696922511708126
35,29,2.6307606742051954e-07
35,31,1.3952975648321149e-05
35,34,7.795658024618673e-05
35,36,2.726697800345621e-06
35,37,2.3458340214408652e-05
35,38,7.493817854511205e-07
35,45,4.741264619432563e-06
35,46,3.772628739970746e-05
35,16,2.7794104956150252e-05
35,24,2.825026424929157e-06
35,26,5.815370659758616e-06
35,48,0.000544424066702762
19,3,1.1735383378812823e-07
19,6,6.377474336391695e-06
19,7,2.085195518009858e-06
19,15,1.650383461973025e-07
19,20,5.480977060738264e-06
19,19,0.0001688554367490153
19,18,1.932039288343582e-06
19,29,1.842423719789028e-07
19,31,1.0607814793447829e-05
19,36,1.4174627993319116e-06
19,37,1.0551021428033052e-05
19,38,7.023911286662192e-07
19,45,1.0143344877530398e-05
19,46,1.9255445685672986e-05
15,3,4.792716028930259e-07
15,15,2.4468008487224324e-05
15,20,3.5432192821368165e-07
15,29,1.024487856273415e-07
15,36,7.007935576551683e-07
15,38,2.5954718558790696e-07
15,27,2.816342848345264e-07
24,3,6.256253998218874e-07
24,7,1.6327975633210407e-07
24,15,1.3751594768591948e-06
24,20,1.950498418366185e-06
24,29,1.7261628585808473e-07
24,36,8.675781257115669e-07
24,38,4.1229929016145234e-07
24,45,2.1856886019721267e-06
24,46,1.5961922379909523e-06
24,16,8.69831627445983e-06
24,24,3.7055375095201917e-06
24,27,5.965548930723743e-07
2,3,5.513870830898559e-07
2,7,2.058467410417939e-07
2,15,1.5114745806831674e-06
2,20,1.951956260156707e-06
2,19,4.254790147347213e-07
2,29,1.5721360712204752e-07
2,36,7.564437501778042e-07
2,38,3.8126335603888e-07
2,45,2.302546772592391e-06
2,46,2.5318766885514595e-06
2,16,1.9528518713091187e-05
2,24,5.839948992563125e-06
2,27,5.362539750610656e-07
30,3,4.153493703587521e-07
30,6,9.31500793198425e-06
30,7,7.945605590745335e-07
30,15,7.120885584964941e-07
30,20,7.298759156733203e-06
30,19,4.140699784216922e-06
30,18,2.2077613328937678e-06
