origin,dest,count
7,3,1.8174257146053978e-05
7,6,0.0008046194124323215
7,7,0.004190444312600467
7,15,0.0002616480944494493
7,20,0.0014580939525982435
7,19,0.0014511224786642473
7,18,0.0003456743635897146
7,29,0.0005822449971876821
7,31,0.0017798968134959407
7,35,0.00011474669656158382
7,36,0.0003096769170064384
7,37,0.00048407554054990815
7,38,0.00019214457099746212
7,45,0.004402587619385817
7,46,0.0016223662015143613
8,3,0.00022280423178969275
8,6,0.0005618659699616618
8,7,0.00034665411051410476
8,15,0.0004911672525236721
8,20,0.0011019121708397777
8,19,0.0016158807266127314
8,18,0.0002491762022425709
8,29,0.0006615994804029086
8,31,0.0013471675630478555
8,35,0.0005028217588347606
8,36,0.00027719475638461014
8,37,0.00044617510577639176
8,38,0.00015414434503416548
8,45,0.005757616965307065
8,46,0.0011750033269593355
8,2,0.002561617775775387
8,4,0.02998282736019741
8,32,0.00789484494293212
8,39,0.003773358090696382
8,42,0.01123289969538904
4,3,2.6209804492224133e-05
4,6,0.00026922600250486585
4,7,1.8664953234175082e-05
4,15,0.00025602503484157754
4,20,0.0005597143925018514
4,19,8.847068606438447e-05
4,18,0.00017499535023455287
4,29,0.0002084810181919332
4,31,0.0006664435354698149
4,35,0.00010480164864726114
4,36,0.00031322130014403227
4,37,0.00017571699733196614
4,38,7.205528226492339e-05
4,45,0.0002660587964672738
4,46,0.0016739576258477944
4,2,0.0009107321341493108
4,32,0.00018003847431857908
4,39,7.172239477740697e-05
0,3,7.886124936126832e-05
0,6,0.0007902278618447328
0,7,0.00011138634632141699
0,15,0.00035993032996655414
0,20,0.0014887109576478066
0,19,0.0005049594073069639
0,18,0.00035782836491442634
0,29,0.0006946342400625711
0,31,0.0017959350506727963
0,35,0.00024047361866766424
0,36,0.0003076360682712671
0,37,0.000504584936645645
0,38,0.0001973479990625594
0,45,0.0016630989969544272
0,46,0.0015377363701884834
0,32,0.000656384289720501
0,39,0.00014889751812007662
32,3,1.7025176588286024e-05
32,6,0.00016699637689409656
32,7,1.1763736827895313e-05
32,15,0.00016345449564935521
32,20,0.00033768617674334123
32,19,5.360684526151386e-05
32,18,0.0001072600085274889
32,29,0.00012455440236005958
32,31,0.0004111084729779911
32,35,6.539775354456228e-05
32,36,0.00020994745839216894
32,37,0.0001083501220665994
32,38,4.430525023047391e-05
32,45,0.0001617232714561202
32,46,0.0011073550272378753
32,2,0.0011564069490412466
32,32,0.00011983476667089316
32,39,4.753328162774134e-05
32,42,8.586632261994616e-05
39,3,7.775413917668687e-05
39,6,0.0007783925976624863
39,7,0.00011191141292766913
39,15,0.0003681809061715279
39,20,0.0014596476454904002
39,19,0.0005212582546585487
39,18,0.00036968660036983104
39,29,0.0006612056344308455
39,31,0.0017687976717054524
39,35,0.0002412676981324053
39,36,0.000313284470595034
39,37,0.0005138525556933414
39,38,0.0001993507920720897
39,45,0.0016357151087409592
39,46,0.0015641680995187354
39,32,0.0006463198678434929
39,39,0.00015431481933224012
42,3,0.0003838632597794862
42,6,0.001036804233076542
42,7,0.0001493274084846995
42,15,0.0005356923637148411
42,20,0.001900080550467709
42,19,0.0006888639685418808
42,18,0.00043747785848671
42,29,0.0008957829937349226
42,31,0.0022871037579640556
42,35,0.0010944559136252903
42,36,0.00039285959327310573
42,37,0.0006697164688848199
42,38,0.00025620036726281174
42,45,0.002219691228556381
42,46,0.0019596195729477584
42,32,0.0013107203662750112
42,39,0.000427027121427767
17,3,0.0004093473303267467
17,6,0.0010569010964681825
17,7,0.00014841928668378457
17,15,0.0005081427257716702
17,20,0.0018698690898168349
17,19,0.0006973570868142455
17,18,0.0003957710335136828
17,29,0.0008603335585777828
17,31,0.002303246700648675
17,35,0.0010384262189440364
17,36,0.00042231137689933046
17,37,0.0006686192369068762
17,38,0.00025591315861582677
17,45,0.0022754931258735043
17,46,0.0020322910914547143
17,32,0.001359038541756375
17,39,0.00045814152384593843
9,3,5.041119566229908e-05
9,6,0.0005108887288160296
9,7,0.00021554083918327947
9,15,0.0002303675901884796
9,20,0.0009358863076304769
9,19,0.0009915647508095867
9,18,0.00023068491246633599
9,29,0.0003982299595199735
9,31,0.0011444739314985168
9,35,0.00015256997502628575
9,36,0.00020497333362465067
9,37,0.0003295554225087909
9,38,0.00012941696460732114
9,45,0.0030754511080736983
9,46,0.0010041204588391317
9,32,0.0013396353894644397
9,39,0.00027906087806017787
23,3,0.0003994955945319053
23,6,0.0009920492914333484
23,7,0.00014854018035611593
23,15,0.0005277901997753436
23,20,0.001871214109599622
23,19,0.0006919047411023885
23,18,0.00046673124570855166
23,29,0.0008887466931814767
23,31,0.0022711005751994517
23,35,0.0011155777069297144
23,36,0.0004126036410896235
23,37,0.0006742485049090037
23,38,0.0002579732270712018
23,45,0.0022217790992842975
23,46,0.002001520445680923
23,32,0.001314342532682396
23,39,0.0004600809862249115
2,3,0.0004014097721300382
2,6,0.0010396884774209803
2,7,0.00014880389096509134
2,15,0.0005263173314403577
2,20,0.0018887048408569344
2,19,0.0006865627814170308
2,18,0.0004411523483925676
2,29,0.0008937583055233347
2,31,0.002276104492053591
