origin,dest,count
7,3,0.00015744756473837714
7,6,0.00024001269818561084
7,7,0.0032972471653809577
7,15,0.0006922704897482513
7,20,0.0015125711604403688
7,19,0.000826653369970504
7,18,9.229048913779824e-05
7,32,0.0008338162674238412
7,29,0.0003467699741277682
7,31,0.0012354439408277327
7,35,0.00032166740421681647
7,36,0.00041375472862464305
7,37,0.00025488713461730746
7,38,0.00019630534203646477
7,41,7.361861803252807e-06
7,45,0.0032348874915634966
7,46,0.0008628548126833878
34,3,9.800595485515464e-06
34,15,5.826847551191018e-06
34,32,1.6232262135517472e-05
34,35,1.6369659327535445e-06
34,41,5.177100625346569e-06
34,2,0.0007475352571814424
34,4,0.0012600437585437616
34,9,0.0003248200203939332
34,23,8.011172974611872e-05
34,39,8.304570665205721e-05
34,42,0.000891362988472005
48,3,1.5198676141231556e-05
48,15,1.5023938457748244e-05
48,32,2.686007863275621e-05
48,35,3.0627641037042427e-06
48,41,7.999520136763368e-06
48,2,0.0011620547964168173
48,4,0.0019526125484178093
48,9,0.0004991875836791251
48,23,0.00011213854546268963
48,39,0.00012595560999282028
48,42,0.0013718855241480255
21,3,1.1268498667958375e-05
21,15,1.7883582261924085e-05
21,32,1.8061439334077444e-05
21,35,3.1851466438820524e-06
21,41,5.8315952972535606e-06
21,2,0.0007667016206775566
21,4,0.001263670839467655
21,9,0.0003253484044389603
21,23,7.147153565815415e-05
21,39,8.900362471749895e-05
21,42,0.0009087474137218518
0,3,0.0006515271423975591
0,6,0.0001958679180778358
0,7,9.072440929076464e-05
0,15,0.000930097453262884
0,20,0.0011945572583292722
0,19,0.00031391539557845086
0,18,7.474224661213867e-05
0,32,0.0010721100171985837
0,29,0.00028588243721201567
0,31,0.0010080883506377075
0,35,0.0004826946378877585
0,36,0.000317133550126815
0,37,0.00023285076880937442
0,38,0.00015477191351708733
0,41,0.0008095050671756593
0,45,0.0013154241239678195
0,46,0.0006675949320520195
0,2,0.0004842198710557417
0,9,0.0005535675098094112
0,39,0.003008108995718796
0,42,0.003743636242147673
32,3,8.172557760799048e-05
32,6,0.00010726737844712435
32,7,0.00012137429218533874
32,15,0.00030153800076598223
32,20,0.0006576335520910455
32,19,0.00040455565688002603
32,18,4.062501812622926e-05
32,32,0.009890988348586273
32,29,0.0001479189816331504
32,31,0.0005364761917461612
32,35,0.00015798768138988473
32,36,0.00018123162703821054
32,37,0.00011246953130124579
32,38,8.558425487255492e-05
32,41,6.231690618102802e-06
32,45,0.0016244479903158395
32,46,0.00037682133718900475
39,3,0.00016472771089718984
39,6,0.00015370440264855277
39,7,3.2668483245405795e-05
39,15,0.0006413727812154994
39,20,0.0009082119457239108
39,19,0.00011239938039696831
39,18,5.590266484057003e-05
39,32,0.00022593422809326198
39,29,0.00022080095534043895
39,31,0.0007878884246239028
39,35,0.0001778826661940795
39,36,0.0004498833282830849
39,37,0.0001774346971435886
39,38,0.00011813133702464583
39,41,5.325968394646917e-05
39,45,0.0004621843474282707
39,46,0.0009411799085014226
39,39,0.00026202521571361395
41,3,6.171197785333073e-05
41,6,0.00012236132090878192
41,7,4.622143622453873e-05
41,15,0.0003429324018202144
41,20,0.0007606573694580662
41,19,0.0001554115647925911
41,18,4.619544595849582e-05
