id,name,lat,lon
0,AL,33.7714278221085,-85.8260348691479
1,AK,62.2240717091675,-149.552252570626
2,AZ,35.8387298410829,-111.770504874854
3,AR,36.1961825591586,-94.1215703782321
4,CA,35.3428487179529,-118.729900017101
5,CO,40.0926378656974,-105.358114213131
6,CT,41.2249601785075,-73.3712044616067
7,DE,39.0959540267671,-75.5046138867628
8,FL,26.5756896241698,-81.9154526187217
9,GA,31.5895065709885,-84.1738860941887
10,HI,20.7671145863175,-156.380744416186
11,ID,43.016164971549,-116.143239962983
12,IL,40.4106616458353,-88.8617236141055
13,IN,39.1543279987426,-86.7918689438515
14,IA,42.0362415119933,-93.4650447699997
15,KS,38.9102602137401,-94.505195745316
16,KY,37.0712100341569,-86.357015760847
17,LA,31.3305506967199,-92.5418574665648
18,ME,43.6529644724717,-70.416869047808
19,MD,39.3055415697504,-76.551007699503
20,MA,41.7734491612184,-70.2381365830172
21,MI,42.2532261824749,-83.8387711040476
22,MN,47.3184378777848,-92.3928273209844
23,MS,30.4959782709606,-89.2000914304155
24,MO,37.3244933614149,-89.7698409591933
25,MT,45.6287004043677,-108.602059278083
26,NE,41.0868247276053,-98.3657055022168
27,NV,39.1511466200944,-119.747421344004
28,NH,42.5181538511535,-71.0219901941539
29,NJ,40.7893945116151,-75.4036455924293
30,NM,35.1222952718886,-106.471644596769
31,NY,42.7885022989832,-73.9419726782192
32,NC,35.6006301219426,-82.6826445426512
33,ND,46.8370145936504,-100.905133973237
34,OH,41.1487250686295,-81.3495122130132
35,OK,36.3790587109412,-97.7827232561481
36,OR,44.4885691713577,-122.534190165742
37,PA,40.7893945116151,-75.4036455924293
38,RI,41.6682876679131,-71.3801959502074
39,SC,33.4351990544738,-81.9465365274209
40,SD,44.3179835971672,-102.764139015628
41,TN,35.0519851091891,-85.3591287639862
42,TX,32.4496900313019,-99.717678358008
43,UT,41.8896476450444,-111.768964276847
44,VT,44.6871978411335,-73.0307789173467
45,VA,37.1865962857846,-80.5924292270095
46,WA,48.8297449981796,-121.872829974509
47,WV,37.7713611267572,-81.2486345590091
48,WI,44.2890277094746,-88.3711473006659
49,WY,41.3070652002949,-104.689615596111
50,PR,18.3797715984677,-67.0703611537066
