,housing_elasticity
AK,1.9035
AL,2.04
AR,2.59
AZ,1.39
CA,0.63
CO,1.53
CT,0.98
DC,1.61
DE,1.99
FL,0.6
GA,2.55
HI,1.9035
IA,3.47
ID,1.9035
IL,0.81
IN,1.74
KS,3.19
KY,2.34
LA,0.81
MA,0.86
MD,1.23
ME,1.9
MI,1.24
MN,1.45
MO,2.36
MS,2.59
MT,1.9035
NC,0.82
ND,1.9035
NE,3.47
NH,0.86
NJ,1.16
NM,2.11
NV,1.39
NY,0.76
OH,1.02
OK,3.29
OR,1.65
PA,1.2
RI,1.61
SC,1.2
SD,1.9035
TN,1.42
TX,2.18
UT,0.75
VA,0.82
VT,1.9035
WA,0.88
WI,1.03
WV,1.9035
WY,1.9035
